Index,Name,RADEG,DEDEG,CZ,LOGMSTAR
3395,ECO03420,182.96900000000002,24.1239,2532.79,10.17
12401,ECO12433,208.146,38.7052,2533.41,8.89
3421,ECO03446,183.46,7.2008,2533.72,10.31
12101,ECO12133,172.35,34.8711,2535.21,8.73
5647,ECO05672,173.355,34.0721,2538.08,9.07
4082,ECO04107,202.105,46.5917,2539.49,10.19
4174,ECO04199,204.065,46.2,2539.73,9.23
3367,ECO03392,182.445,25.0261,2541.76,9.03
1555,ECO01580,204.87,46.0155,2543.04,8.45
801,ECO00809,192.357,4.3925,2543.81,8.47
3764,ECO03789,194.458,29.655,2546.98,8.87
11854,ECO11886,196.44799999999998,27.7339,2547.9,9.49
6492,ECO06517,217.31,44.6991,2549.97,9.77
3932,ECO03957,198.174,22.8297,2550.28,9.59
4336,ECO04361,208.783,40.1672,2550.55,9.19
12223,ECO12255,138.255,20.3653,2551.58,8.95
4866,ECO04891,226.782,1.5442,2551.71,11.03
12363,ECO12395,171.255,35.6292,2557.36,8.89
6396,ECO06421,207.856,40.2132,2557.96,9.33
3448,ECO03473,139.105,42.9919,2560.94,8.61
6053,ECO06078,191.378,20.816,2562.32,9.09
11268,ECO11299,167.253,22.9294,2570.03,9.29
3730,ECO03755,193.793,7.9181,2570.34,9.03
12304,ECO12336,178.993,6.7523,2570.92,10.47
10309,ECO10335,163.016,10.1483,2571.67,10.13
4104,ECO04129,202.548,46.6708,2572.18,10.71
2257,ECO02282,197.602,21.5752,2574.28,8.67
3697,ECO03722,192.315,4.6567,2577.2,8.67
959,ECO00971,197.609,24.923000000000002,2578.54,8.41
9844,ECO09869,161.923,11.0772,2584.71,9.87
784,ECO00792,184.429,28.2018,2587.11,8.47
2869,ECO02894,136.45,25.4369,2596.2,10.09
4321,ECO04346,208.25799999999998,39.5808,2597.09,9.59
3475,ECO03500,184.77700000000002,5.7258,2599.73,9.91
11152,ECO11180,166.85299999999998,21.6572,2604.65,9.91
3771,ECO03796,194.578,13.3917,2607.61,9.91
3926,ECO03951,198.02700000000002,24.095,2608.16,10.05
4299,ECO04324,207.71099999999998,39.5747,2608.45,10.81
2516,ECO02541,173.37599999999998,33.5081,2608.63,9.21
4246,ECO04271,206.28599999999997,41.5036,2611.22,10.31
3922,ECO03947,197.90400000000002,22.9156,2613.12,10.51
3488,ECO03513,185.09,5.3864,2613.83,11.15
3891,ECO03916,197.143,21.05,2614.01,9.33
4614,ECO04639,214.68,21.8172,2614.04,8.35
3006,ECO03031,137.07299999999998,21.4436,2614.3,9.93
11643,ECO11675,138.52100000000002,40.1138,2622.86,10.47
683,ECO00690,195.37400000000002,16.5725,2625.96,8.41
6224,ECO06249,198.52700000000002,48.1562,2629.45,8.85
4933,ECO04958,231.627,41.2892,2630.36,9.05
3742,ECO03767,194.083,10.1886,2631.55,8.99
5320,ECO05345,145.466,48.6711,2631.68,8.85
388,ECO00392,207.408,40.0632,2632.58,8.93
135,ECO00136,178.31400000000002,11.6341,2632.96,8.75
4296,ECO04321,207.68099999999998,39.7067,2633.4,9.87
4812,ECO04837,223.66400000000002,42.0239,2633.84,9.05
4282,ECO04307,207.435,39.9847,2634.14,10.55
4800,ECO04825,223.0,43.7197,2635.3,9.09
4378,ECO04403,209.59900000000002,25.5497,2638.58,8.55
4931,ECO04956,231.525,41.6703,2646.59,10.29
3184,ECO03209,138.06,44.9553,2646.86,10.39
1316,ECO01341,179.451,12.0385,2646.87,8.55
4853,ECO04878,226.36,46.5653,2649.34,9.63
2054,ECO02079,224.68900000000002,41.7652,2649.66,8.51
180,ECO00181,151.796,12.6514,2650.32,8.35
4183,ECO04208,141.97799999999998,44.5061,2651.61,9.37
4895,ECO04920,228.771,42.2094,2651.99,10.27
4766,ECO04791,220.03900000000002,42.7794,2652.83,9.15
4248,ECO04273,206.329,41.7125,2657.58,10.79
4327,ECO04352,208.362,40.3022,2657.82,11.05
9876,ECO09901,161.974,10.8975,2658.35,8.83
7380,ECO07405,151.463,12.9614,2660.51,9.55
4762,ECO04787,219.967,42.7422,2661.51,9.51
6281,ECO06306,202.14,46.4998,2669.19,9.11
3831,ECO03856,140.763,44.5547,2671.24,9.67
7810,ECO07835,153.21,12.6664,2672.35,9.61
805,ECO00813,194.25099999999998,1.0287,2672.36,8.71
7501,ECO07526,151.865,12.2742,2673.68,9.27
6924,ECO06949,149.931,11.6608,2674.88,9.93
4797,ECO04822,222.94299999999998,43.6447,2675.3,9.03
3415,ECO03440,138.813,40.9178,2679.52,10.45
8453,ECO08478,155.933,12.5678,2681.54,10.73
4179,ECO04204,204.14,44.5992,2682.8,9.89
2889,ECO02914,174.92700000000002,31.9092,2685.09,10.29
12549,ECO12581,172.046,25.6614,2686.07,10.39
3731,ECO03756,193.815,2.8964,2686.56,10.25
4119,ECO04144,202.907,46.1508,2688.92,9.89
9424,ECO09449,225.815,37.7661,2689.83,9.41
2962,ECO02987,136.785,25.3419,2695.2,9.65
3735,ECO03760,193.89,8.2403,2696.41,9.97
3470,ECO03495,139.139,39.8728,2698.43,8.99
1050,ECO01063,208.498,39.7154,2704.96,9.51
6959,ECO06984,174.755,31.4877,2705.11,9.35
6110,ECO06135,194.65,1.7067,2705.32,8.53
4403,ECO04428,210.105,38.5208,2707.57,8.85
7251,ECO07276,151.094,13.6214,2714.16,10.23
4287,ECO04312,207.585,41.3664,2714.38,10.15
4837,ECO04862,225.204,48.3614,2714.44,8.85
