Index,Name,RADEG,DEDEG,CZ
0,ECO00001,139.374,25.9664,6456.0
1,ECO00002,185.078,8.533,4340.0
2,ECO00003,144.112,9.606,5444.0
3,ECO00004,144.99200000000002,9.1788,6376.0
4,ECO00005,145.612,10.219,5710.0
5,ECO00006,148.78799999999998,5.7283,6964.0
6,ECO00007,149.41899999999998,10.1243,5230.0
7,ECO00008,155.82,9.2248,4580.0
8,ECO00009,160.641,10.6224,6384.0
9,ECO00010,185.60299999999998,9.4885,4580.0
10,ECO00011,160.75,11.0733,5824.0
11,ECO00012,162.755,12.2605,6140.0
12,ECO00013,163.18200000000002,7.4471,6612.0
13,ECO00014,164.61,6.5457,6424.0
14,ECO00015,166.903,5.5604,6652.0
15,ECO00016,169.1,11.1031,5852.0
16,ECO00017,169.37,11.7137,6136.0
17,ECO00018,169.854,11.4083,6132.0
18,ECO00019,186.609,6.7083,4104.0
19,ECO00020,170.487,10.4988,4344.0
20,ECO00021,175.882,8.9089,6252.0
21,ECO00022,175.93,11.1514,6084.0
22,ECO00023,176.267,10.9113,5908.0
23,ECO00024,177.38299999999998,10.6012,6376.0
24,ECO00025,178.854,10.2015,3052.0
25,ECO00026,194.998,27.941,6110.0
26,ECO00027,182.31799999999998,10.9482,4424.0
27,ECO00028,184.446,4.7829,6890.0
28,ECO00029,193.04,15.0824,6444.0
29,ECO00030,201.81599999999997,4.2088,6916.0
30,ECO00031,204.262,4.9301,6840.0
31,ECO00032,204.726,4.1307,6530.0
32,ECO00033,205.17700000000002,4.8133,6756.0
33,ECO00034,209.232,11.3745,6788.0
34,ECO00035,234.19400000000002,7.8336,3380.0
35,ECO00036,211.42700000000002,12.074000000000002,4600.0
36,ECO00037,212.07299999999998,12.4681,4200.0
37,ECO00038,145.59,5.9955,5710.0
38,ECO00039,140.38299999999998,11.3467,5532.0
39,ECO00040,146.46,8.9095,5068.0
40,ECO00041,149.44799999999998,4.5208,6396.0
41,ECO00042,165.475,4.0465,6532.0
42,ECO00043,166.673,4.4445,6016.0
43,ECO00044,169.27900000000002,12.9255,5804.0
44,ECO00045,176.09400000000002,13.0102,6384.0
45,ECO00046,195.21900000000002,27.805,6844.0
46,ECO00047,177.947,11.8205,6356.0
47,ECO00048,180.65200000000002,4.55,5532.0
48,ECO00049,184.56599999999997,11.2269,4660.0
49,ECO00050,205.644,4.529,6844.0
50,ECO00051,206.528,12.0384,6812.0
51,ECO00052,207.00799999999998,10.9511,6852.0
52,ECO00053,175.80599999999998,12.4951,6210.0
53,ECO00054,154.889,13.0395,6812.0
54,ECO00055,160.037,9.2748,5296.0
55,ECO00056,194.852,27.5173,5916.0
56,ECO00057,167.324,5.0927,6760.0
57,ECO00058,184.793,9.8142,6296.0
58,ECO00059,172.297,11.8661,3066.0
59,ECO00060,143.793,25.124000000000002,6090.0
60,ECO00061,148.822,24.9279,6584.0
61,ECO00062,149.134,24.8576,6628.0
62,ECO00063,150.563,25.926,6424.0
63,ECO00064,151.746,27.6893,6108.0
64,ECO00065,194.56900000000002,27.8026,5704.0
65,ECO00066,155.164,25.56,6310.0
66,ECO00067,158.067,25.3387,6220.0
67,ECO00068,161.085,15.5109,6164.0
68,ECO00069,161.707,26.3085,6264.0
69,ECO00070,163.987,26.6352,6516.0
70,ECO00071,165.864,24.9114,6188.0
71,ECO00072,166.00099999999998,25.893,6668.0
72,ECO00073,169.334,27.8721,6716.0
73,ECO00074,194.30900000000003,27.2537,5250.0
74,ECO00075,174.75099999999998,26.6111,6956.0
75,ECO00076,174.86700000000002,26.4899,6868.0
76,ECO00077,175.37900000000002,25.9347,6812.0
77,ECO00078,175.53099999999998,26.1221,6850.0
78,ECO00079,184.953,26.2857,6884.0
79,ECO00080,189.44299999999998,26.2991,6604.0
80,ECO00081,189.553,26.4921,6720.0
81,ECO00082,189.62099999999998,26.3743,6908.0
82,ECO00083,189.86700000000002,26.6722,6020.0
83,ECO00084,194.018,27.2855,6704.0
84,ECO00085,193.324,26.3394,6924.0
85,ECO00086,199.19099999999997,26.2122,3998.0
86,ECO00087,201.016,13.9358,6416.0
87,ECO00088,201.442,13.9104,6630.0
88,ECO00089,202.821,9.3534,6940.0
89,ECO00090,207.882,14.0452,6790.0
90,ECO00091,208.076,6.9198,6744.0
91,ECO00092,208.195,8.5979,6884.0
92,ECO00093,208.21900000000002,14.2082,6776.0
93,ECO00094,147.91899999999998,14.0378,2746.0
94,ECO00095,210.75599999999997,12.4851,5388.0
95,ECO00096,210.922,9.5341,6736.0
96,ECO00097,211.204,11.6987,4660.0
97,ECO00098,214.188,10.9703,6740.0
98,ECO00099,226.03,10.6196,6540.0
99,ECO00100,229.282,10.524000000000001,6376.0
100,ECO00101,236.613,8.657,3770.0
101,ECO00102,157.303,25.3956,5804.0
102,ECO00103,211.335,10.4107,5584.0
103,ECO00104,131.696,13.1639,4076.0
104,ECO00105,214.61900000000003,26.496,4430.0
105,ECO00106,227.321,10.8517,6668.0
106,ECO00107,201.07,9.6753,6920.0
107,ECO00108,156.123,24.4234,6176.0
108,ECO00109,178.894,27.3626,6490.0
109,ECO00110,195.047,27.46,6852.0
110,ECO00111,178.622,25.1499,6176.0
111,ECO00112,174.80900000000003,25.7874,6870.0
112,ECO00113,178.755,25.461,6024.0
113,ECO00114,161.928,27.4579,6356.0
114,ECO00115,157.946,24.8577,6240.0
115,ECO00116,175.079,25.392,6750.0
116,ECO00117,162.362,15.8508,5652.0
117,ECO00118,206.81900000000002,13.2979,6476.0
118,ECO00119,161.339,13.714,2946.0
119,ECO00120,140.191,13.9475,5708.0
120,ECO00121,207.764,13.9825,6108.0
121,ECO00122,207.601,13.8571,6930.0
122,ECO00123,208.02599999999998,14.1298,6850.0
123,ECO00124,212.888,4.4816,5524.0
124,ECO00125,216.52599999999998,27.2445,4870.0
125,ECO00126,155.217,25.8192,5844.0
126,ECO00127,175.195,26.3834,6890.0
127,ECO00128,179.612,27.0759,6460.0
128,ECO00129,193.957,27.089000000000002,6850.0
129,ECO00130,200.37900000000002,6.6013,6388.0
130,ECO00131,211.23,8.9207,6920.0
131,ECO00132,194.81099999999998,27.8956,6420.0
132,ECO00133,194.84799999999998,27.9196,6936.0
133,ECO00134,194.481,27.2321,6480.0
134,ECO00135,166.06099999999998,5.1269,5124.0
135,ECO00136,178.31400000000002,11.6341,2632.0
136,ECO00137,171.862,6.8849,5548.0
137,ECO00138,177.394,6.9598,5836.0
138,ECO00139,180.671,8.1576,6864.0
139,ECO00140,171.905,8.5008,5616.0
140,ECO00141,166.831,5.4107,6172.0
141,ECO00142,172.502,7.6605,6176.0
142,ECO00143,181.385,14.2897,6704.0
143,ECO00144,184.02900000000002,14.2104,6590.0
144,ECO00145,182.80700000000002,14.1651,6280.0
145,ECO00146,176.832,15.4749,6340.0
146,ECO00147,234.726,8.5937,3566.0
147,ECO00148,206.80900000000003,6.9134,6964.0
148,ECO00149,205.34099999999998,6.0072,6990.0
149,ECO00150,215.196,6.735,6788.0
150,ECO00151,205.795,7.7675,6910.0
151,ECO00152,179.083,6.1726,3320.0
152,ECO00153,230.799,6.3172,6576.0
153,ECO00154,209.09799999999998,10.1038,4908.0
154,ECO00155,209.65400000000002,10.0388,6964.0
155,ECO00156,216.44799999999998,12.2285,6956.0
156,ECO00157,215.859,12.9679,5916.0
157,ECO00158,216.294,13.7266,5684.0
158,ECO00159,214.72799999999998,13.8145,5052.0
159,ECO00160,178.77700000000002,14.4667,6136.0
160,ECO00161,177.657,14.4532,5990.0
161,ECO00162,178.30200000000002,15.114,6644.0
162,ECO00163,193.86700000000002,15.8825,6584.0
163,ECO00164,135.745,25.6749,6100.0
164,ECO00165,133.284,25.9779,6536.0
165,ECO00166,228.489,27.2545,6868.0
166,ECO00167,191.199,6.7642,5424.0
167,ECO00168,191.84599999999998,27.465,6636.0
168,ECO00169,195.988,26.7295,6612.0
169,ECO00170,195.419,27.5489,6536.0
170,ECO00171,175.27,26.2692,6836.0
171,ECO00172,192.43599999999998,27.5918,6850.0
172,ECO00173,195.636,27.3935,5470.0
173,ECO00174,140.007,7.0561,3340.0
174,ECO00175,205.74099999999999,11.9565,6810.0
175,ECO00176,183.106,7.1368,5532.0
176,ECO00177,199.84099999999998,6.311,6844.0
177,ECO00178,188.419,7.8394,6460.0
178,ECO00179,211.352,7.6106,5108.0
179,ECO00180,132.084,26.4139,5336.0
180,ECO00181,151.796,12.6514,2650.0
181,ECO00182,144.953,7.0658,5530.0
182,ECO00183,192.102,9.3168,6424.0
183,ECO00184,210.418,7.997999999999999,5396.0
184,ECO00185,210.67,9.2792,5636.0
185,ECO00186,210.479,9.3789,4550.0
186,ECO00187,191.40400000000002,10.599,5830.0
187,ECO00188,231.268,7.2823,6456.0
188,ECO00189,211.445,7.6979,4476.0
189,ECO00190,205.40900000000002,24.6773,5170.0
190,ECO00191,231.858,11.284,3938.0
191,ECO00192,209.726,14.9333,6976.0
192,ECO00193,209.31900000000002,15.8821,4972.0
193,ECO00194,233.042,11.1579,6364.0
194,ECO00196,210.993,15.8504,6904.0
195,ECO00197,220.141,14.4756,5460.0
196,ECO00198,157.593,15.2551,5576.0
197,ECO00199,204.553,15.8632,4504.0
198,ECO00200,138.872,11.7737,4950.0
199,ECO00201,146.671,14.1978,3602.0
200,ECO00202,162.94,8.5574,5988.0
201,ECO00203,162.532,8.9167,6500.0
202,ECO00204,197.167,24.076999999999998,6624.0
203,ECO00205,184.229,25.7752,6404.0
204,ECO00206,184.187,26.1237,6760.0
205,ECO00207,174.41400000000002,8.8642,3658.0
206,ECO00208,230.28900000000002,15.334000000000001,6816.0
207,ECO00209,188.812,24.5488,6416.0
208,ECO00210,169.25,24.7654,4756.0
209,ECO00211,192.717,25.2591,4350.0
210,ECO00212,198.768,24.9388,6604.0
211,ECO00213,186.61599999999999,25.8889,6884.0
212,ECO00214,196.238,25.5834,6570.0
213,ECO00215,225.61700000000002,14.9016,6430.0
214,ECO00216,150.17600000000002,15.6058,5810.0
215,ECO00217,230.268,15.2686,6770.0
216,ECO00218,227.737,13.4462,6812.0
217,ECO00219,206.255,15.9683,6720.0
218,ECO00220,206.71900000000002,15.9693,6550.0
219,ECO00221,231.053,11.6939,2900.0
220,ECO00222,228.421,13.81,6636.0
221,ECO00223,155.583,15.815999999999999,6530.0
222,ECO00224,143.642,13.0057,2910.0
223,ECO00225,164.85,9.1007,6236.0
224,ECO00226,144.32299999999998,14.2492,5960.0
225,ECO00227,162.467,8.7282,6804.0
226,ECO00228,164.111,8.9122,6188.0
227,ECO00229,209.795,10.2128,6692.0
228,ECO00230,152.465,30.3211,6090.0
229,ECO00231,169.745,22.8867,6270.0
230,ECO00232,170.52,19.0503,4180.0
231,ECO00233,142.951,-0.4084,5480.0
232,ECO00234,143.697,32.1435,4396.0
233,ECO00235,176.019,9.1652,5920.0
234,ECO00236,147.27700000000002,44.0483,4736.0
235,ECO00237,148.115,32.4694,4444.0
